Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 8239420k(1205908k free), swap 17590580k(2318448k free)
CommandLine flags: -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2020-10-28T18:11:44.838+0800: 0.581: [Full GC (Ergonomics) [PSYoungGen: 29673K->24509K(58368K)] [ParOldGen: 174465K->174971K(175104K)] 204138K->199480K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0219877 secs] [Times: user=0.09 sys=0.02, real=0.02 secs] 
2020-10-28T18:11:44.862+0800: 0.604: [Full GC (Ergonomics) [PSYoungGen: 29604K->25808K(58368K)] [ParOldGen: 174971K->174181K(175104K)] 204576K->199989K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0210132 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.883+0800: 0.626: [Full GC (Ergonomics) [PSYoungGen: 29683K->24728K(58368K)] [ParOldGen: 174181K->174712K(175104K)] 203864K->199441K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0282841 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2020-10-28T18:11:44.913+0800: 0.655: [Full GC (Ergonomics) [PSYoungGen: 29649K->25258K(58368K)] [ParOldGen: 174712K->174757K(175104K)] 204362K->200016K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0227817 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.937+0800: 0.679: [Full GC (Ergonomics) [PSYoungGen: 29458K->25492K(58368K)] [ParOldGen: 174757K->175023K(175104K)] 204216K->200516K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0250389 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.963+0800: 0.705: [Full GC (Ergonomics) [PSYoungGen: 29686K->27202K(58368K)] [ParOldGen: 175023K->174735K(175104K)] 204710K->201937K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0204308 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:44.984+0800: 0.726: [Full GC (Ergonomics) [PSYoungGen: 29670K->27216K(58368K)] [ParOldGen: 174735K->175034K(175104K)] 204405K->202251K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0250353 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2020-10-28T18:11:45.009+0800: 0.751: [Full GC (Ergonomics) [PSYoungGen: 29672K->27916K(58368K)] [ParOldGen: 175034K->174982K(175104K)] 204707K->202898K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0209646 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-10-28T18:11:45.031+0800: 0.773: [Full GC (Ergonomics) [PSYoungGen: 29469K->28227K(58368K)] [ParOldGen: 174982K->174815K(175104K)] 204451K->203042K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0263762 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2020-10-28T18:11:45.058+0800: 0.800: [Full GC (Ergonomics) [PSYoungGen: 29255K->28944K(58368K)] [ParOldGen: 174815K->174815K(175104K)] 204070K->203760K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0028205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.061+0800: 0.803: [Full GC (Ergonomics) [PSYoungGen: 29579K->28944K(58368K)] [ParOldGen: 174815K->174815K(175104K)] 204394K->203760K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0027467 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.064+0800: 0.806: [Full GC (Ergonomics) [PSYoungGen: 29693K->28944K(58368K)] [ParOldGen: 174815K->174815K(175104K)] 204509K->203760K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0024925 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T18:11:45.067+0800: 0.809: [Full GC (Ergonomics) [PSYoungGen: 29463K->29174K(58368K)] [ParOldGen: 174815K->174783K(175104K)] 204278K->203958K(233472K), [Metaspace: 2637K->2637K(1056768K)], 0.0024110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
